# ::id 727013
# ::tok The movie received mixed reviews and The Hollywood Reporter concluded , " Angelina Jolie plays a role that definitely feels like something she has already done , but she does add an unmistakable dash of excitement and glamour .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.2 3-1.1.3.1 4-1.1.3.2 5-1.2 6-1.3.1 7-1.3.1 8-1.3.1 9-1.3.2 12-1.3.3.1.1 13-1.3.3.1.1 14-1.3.3.1.2 15-1.3.3.1.3.1 16-1.3.3.1.3.2 18-1.3.3.1.3.3.3 19-1.3.3.1.3.3.4.1 20-1.3.3.1.3.3.4.2 21-1.3.3.1.3.3.5.1 22-1.3.3.1.3.3.5.2 24-1.3.3.1.3.3.5.4 25-1.3.3.1.3.3.5.5 27-1.3.3.2 28-1.3.3.3.1 30-1.3.3.3.3 31-1.3.3.3.4.1 32-1.3.3.3.4.2 33-1.3.3.3.4.3.1 34-1.3.3.3.4.3.2 35-1.3.3.3.4.4.1 36-1.3.3.3.4.4.2 37-1.3.3.3.4.4.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label
                  :E (v11 / label~e.0)
                  :C (v12 / label~e.1))
           :P (v6 / label~e.2)
           :A (v7 / label
                  :E (v13 / label~e.3)
                  :C (v14 / label~e.4)))
    :L (v3 / label~e.5)
    :H (v4 / label
           :A (v8 / label~e.6,7,8)
           :P (v9 / label~e.9)
           :A (v10 / label
                   :H (v15 / label
                           :A (v18 / label~e.12,13)
                           :P (v19 / label~e.14)
                           :A (v20 / label
                                   :E (v24 / label~e.15)
                                   :C (v25 / label~e.16)
                                   :E (v26 / label
                                           :A v25
                                           :D (v31 / label~e.18)
                                           :S (v32 / label
                                                   :C (v39 / label~e.19)
                                                   :R (v40 / label~e.20))
                                           :A (v33 / label
                                                   :A (v41 / label~e.21)
                                                   :A (v42 / label~e.22)
                                                   :D (v43 / label~e.24)
                                                   :P (v44 / label~e.25)))))
                   :L (v16 / label~e.27)
                   :H (v17 / label
                           :A (v21 / label~e.28)
                           :P (v22 / label~e.30)
                           :A (v23 / label
                                   :E (v27 / label~e.31)
                                   :E (v28 / label~e.32)
                                   :E (v29 / label
                                           :C (v34 / label~e.33)
                                           :R (v35 / label~e.34))
                                   :C (v30 / label
                                           :C (v36 / label~e.35)
                                           :N (v37 / label~e.36)
                                           :C (v38 / label~e.37)))))))
