# ::id 942018
# ::tok Eric was the keyboardist for No Doubt ; he left the band to pursue a career in animation on The Simpsons on the Fox TV network .
# ::alignments 0-1.1.1 2-1.1.3.1 3-1.1.3.2 4-1.1.4.1 5-1.1.4.2 6-1.1.4.2 8-1.2.1 9-1.2.2 10-1.2.3.1.1 11-1.2.3.1.2 12-1.3 13-1.4.2 14-1.4.3.1 15-1.4.3.2 16-1.4.4.1 17-1.4.4.2 18-1.4.4.3.1 19-1.4.4.3.2 20-1.4.4.3.2 21-1.4.4.4.1 22-1.4.4.4.2 23-1.4.4.4.3 24-1.4.4.4.3 25-1.4.4.4.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v6 / label~e.0)
           :P (v7 / label
                  :E (v15 / label~e.2)
                  :C (v16 / label~e.3))
           :A (v8 / label
                  :R (v17 / label~e.4)
                  :C (v18 / label~e.5,6)))
    :H (v3 / label
           :A (v9 / label~e.8)
           :P (v10 / label~e.9)
           :A (v11 / label
                   :P (v19 / label
                           :E (v26 / label~e.10)
                           :C (v27 / label~e.11))))
    :L (v4 / label~e.12)
    :H (v5 / label
           :A v9
           :D (v12 / label~e.13)
           :P (v13 / label
                   :E (v20 / label~e.14)
                   :C (v21 / label~e.15))
           :A (v14 / label
                   :R (v22 / label~e.16)
                   :C (v23 / label~e.17)
                   :E (v24 / label
                           :R (v28 / label~e.18)
                           :C (v29 / label~e.19,20))
                   :E (v25 / label
                           :R (v30 / label~e.21)
                           :E (v31 / label~e.22)
                           :C (v32 / label~e.23,24)
                           :E (v33 / label~e.25)))))
