# ::id 470011
# ::tok However , Abdul - Jabbar , who was now 38 years old , scored 30 points and grabbed 17 rebounds in Game 2 , and his 36 points in a Game 5 win were instrumental in establishing a 3 - 2 lead for Los Angeles .
# ::alignments 0-1.1 2-1.4.4 4-1.4.4 6-1.2.1.2.2 8-1.2.1.2.4 9-1.2.1.2.5.1 10-1.2.1.2.5.2 11-1.2.1.2.6 13-1.2.2 14-1.2.3.1 15-1.2.3.2 16-1.3 17-1.4.1 18-1.4.2.1 19-1.4.2.2 20-1.4.3.1 21-1.4.3.2.1 22-1.4.3.3 24-1.5 25-1.6.1.1.1.2 26-1.6.1.1.2 27-1.6.1.1.3 28-1.6.1.2.1 29-1.6.1.2.2 30-1.6.1.2.3.1 31-1.6.1.2.4 32-1.6.1.3 34-1.6.3 35-1.6.4.1 36-1.6.4.2 37-1.6.5.1.1 38-1.6.5.2.2 40-1.6.5.2.3 41-1.6.5.1.2 42-1.6.5.3.1 43-1.6.5.3.2 44-1.6.5.3.2
# ::format ucca
(v1 / label
    :L (v2 / label~e.0)
    :H (v3 / label
           :A (v8 / label
                  :C (v14 / label~e.2,4)
                  :E (v19 / label
                          :A v14
                          :R (v35 / label~e.6)
                          :T (v36 / label~e.8)
                          :T (v37 / label
                                  :Q (v54 / label~e.9)
                                  :C (v55 / label~e.10))
                          :S (v38 / label~e.11)))
           :P (v9 / label~e.13)
           :A (v10 / label
                   :Q (v20 / label~e.14)
                   :C (v21 / label~e.15)))
    :L (v4 / label~e.16)
    :H (v5 / label
           :P (v11 / label~e.17)
           :A (v12 / label
                   :E (v22 / label~e.18)
                   :C (v23 / label~e.19))
           :A (v13 / label
                   :R (v24 / label~e.20)
                   :C (v25 / label
                           :P (v39 / label~e.21))
                   :Q (v26 / label~e.22))
           :A v14)
    :L (v6 / label~e.24)
    :H (v7 / label
           :A (v15 / label
                   :A (v27 / label
                           :E (v40 / label
                                   :A (v42 / label~e.27)
                                   :A (v56 / label~e.25))
                           :Q (v41 / label~e.26)
                           :C v42)
                   :A (v28 / label
                           :R (v43 / label~e.28)
                           :E (v44 / label~e.29)
                           :C (v45 / label
                                   :P (v57 / label~e.30))
                           :Q (v46 / label~e.31))
                   :P (v29 / label~e.32))
           :D (v16 / label~e.34)
           :P (v17 / label
                   :R (v30 / label~e.35)
                   :C (v31 / label~e.36))
           :A (v18 / label
                   :P (v32 / label
                           :E (v47 / label~e.37)
                           :C (v48 / label~e.41))
                   :D (v33 / label
                           :R (v49 / label)
                           :C (v50 / label~e.38)
                           :C (v51 / label~e.40))
                   :A (v34 / label
                           :R (v52 / label~e.42)
                           :C (v53 / label~e.43,44)))))
